file,seq,Flag,Site,actual,v3_8_ak_specialist,v3_9_feature_pruned,pred_delta_v39_minus_v38,err38,err39,error_delta_v39_minus_v38
"Daily Allocation - 132, 143, 150 - 6.4.2026.xlsb",571,Review,159,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0
"Daily Allocation - 132, 143, 150 - 6.4.2026.xlsb",572,Review,145,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0
