segment,rows,mae,exact,false_pos,false_neg,pred_units,actual_units,unit_delta,model,file
Allocate,677,0.32348596750369274,0.8124076809453471,29,45,2046.0,2027.0,19.0,v3_8_ak_specialist,"Daily Allocation - 133, 155, 131, 704, 141, 152, 156, 708, 715 - 6.3.2026.xlsb"
Review,1673,0.09264793783622235,0.9653317393903168,11,38,659.0,736.0,-77.0,v3_8_ak_specialist,"Daily Allocation - 133, 155, 131, 704, 141, 152, 156, 708, 715 - 6.3.2026.xlsb"
Site 802,35,0.8,0.6857142857142857,0,7,34.0,62.0,-28.0,v3_8_ak_specialist,"Daily Allocation - 133, 155, 131, 704, 141, 152, 156, 708, 715 - 6.3.2026.xlsb"
Site 802 Allocate,15,1.3333333333333333,0.4666666666666667,0,4,29.0,49.0,-20.0,v3_8_ak_specialist,"Daily Allocation - 133, 155, 131, 704, 141, 152, 156, 708, 715 - 6.3.2026.xlsb"
Site 802 Review,20,0.4,0.85,0,3,5.0,13.0,-8.0,v3_8_ak_specialist,"Daily Allocation - 133, 155, 131, 704, 141, 152, 156, 708, 715 - 6.3.2026.xlsb"
Non-802,2315,0.14946004319654427,0.9248380129589633,40,76,2671.0,2701.0,-30.0,v3_8_ak_specialist,"Daily Allocation - 133, 155, 131, 704, 141, 152, 156, 708, 715 - 6.3.2026.xlsb"
All,2350,0.15914893617021278,0.9212765957446809,40,83,2705.0,2763.0,-58.0,v3_9_feature_pruned,"Daily Allocation - 133, 155, 131, 704, 141, 152, 156, 708, 715 - 6.3.2026.xlsb"
Allocate,677,0.32348596750369274,0.8124076809453471,29,45,2046.0,2027.0,19.0,v3_9_feature_pruned,"Daily Allocation - 133, 155, 131, 704, 141, 152, 156, 708, 715 - 6.3.2026.xlsb"
Review,1673,0.09264793783622235,0.9653317393903168,11,38,659.0,736.0,-77.0,v3_9_feature_pruned,"Daily Allocation - 133, 155, 131, 704, 141, 152, 156, 708, 715 - 6.3.2026.xlsb"
Site 802,35,0.8,0.6857142857142857,0,7,34.0,62.0,-28.0,v3_9_feature_pruned,"Daily Allocation - 133, 155, 131, 704, 141, 152, 156, 708, 715 - 6.3.2026.xlsb"
