segment,v3_8_ak_specialist,v3_9_feature_pruned,mae_delta_v39_minus_v38
AK Allocate,1.0636363636363637,1.0636363636363637,0.0
AK Review,0.502127659574468,0.49361702127659574,-0.008510638297872297
AK Stores,0.7736263736263737,0.7692307692307693,-0.00439560439560438
All,0.40443394988849535,0.4041715859897678,-0.0002623638987275245
Allocate,0.5501770956316411,0.5501770956316411,0.0
Non-AK,0.38099888392857145,0.38099888392857145,0.0
Review,0.28783943329397876,0.2873671782762692,-0.00047225501770958855
Site 802,0.5862068965517241,0.5862068965517241,0.0
